CATEGORY	TIME	INDICATOR	SOURCE	DESCRIPTION	UNIT	MAP	GRAPH	DATA	OPTIONS	ID	AFG	ALB	DZA	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	KHM	CMR	CAN	CPV	CYM	CAF	TCD	CHL	CHN	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FJI	FIN	FRA	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRD	GTM	GIN	GNB	GUY	HTI	VAT	HND	HKG	HUN	ISL	IND	IDN	IRN	IRQ	IRL	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MAC	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MRT	MUS	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	ANT	NZL	NIC	NER	NGA	NIU	NOR	OMN	PAK	PLW	PSE	PAN	PNG	PRY	PER	PHL	POL	PRT	QAT	KOR	MDA	ROU	RUS	RWA	KNA	LCA	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SVK	SVN	SLB	SOM	ZAF	ESP	LKA	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	THA	MKD	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	URY	UZB	VUT	VEN	VNM	YEM	ZMB	ZWE	GUF	ESH	TWN	GRL	EAZ	SJM	PRI	IMN	JEY	GGY	VIR	KOS	SSD	FrenchPolynesia	Guadeloupe	Guam	Martinique	Mayotte	NewCaledonia	Reunion	HongKong	ChannelIslands	FaeroeIslands	FalklandIslands	NorthernMarianaIslands	Pitcairn	SaintHelena	SaintPierreandMiquelon	WallisandFutunaIslands	WestBankandGaza
DNS	2014					0=[0x2171B5][70] 1=[0x6BAED6][60] 2=[0xBDD7E7][50] 3=[0xEFF3FF]				dns																																																																																																																																																																																																																																														
		DNS overall							calc=latestdata	68	74.88	105.47	93.31	82.64	63.48		120.02	158.74	115.92	135.07	131.23	151.91	110.91	71.44	173.27	75.92	106.78	122.5	114.27	50.71	101.71	90.88	82.07	96.34	91.28	167.3	138.95		110.06	137.71	71.74	30.46	155.11	75.69	82.98	121.79	153.75	31.36	39.75	133.26	92.27	113.08	50.9	108.15		143.83	106.25	104.43	22.48	96.34	130.03	11.19	53.49	125.96	32.39	127.45	78.86	103.9	114.31	144.03	66.39	6.39	160.69	31.59	98.78	139.66	100.36	210.37	119.63	124.94	120.42	114.82		114.96	126.53	106.63	72.1	63.48	70.54	64.71		93.52	239.3	118.05	111.08	74.48	126.18	87.79	94.91	104.26	121.45	154.25	102.92	120.23	147.8	168.62	73.84	17.41	218.43	134.46	66.99	124.2	88.35	101.9	73.35	161.12	104.32	147.04	148.37	322.59	38.22	30.5	148.83	189.38	149.02	126.98	29.37	94.2	132.25	82.54		88.46	105.06	163.03		131.71	69.67	49.47	113.76		82.49	116.42		112.05	114.57	44.44	77.84		116.51	157.75	73.33	90.6	72.08	158.05	44.93	105.6	102.92	111.22	156.45	111.8	145.76	115.54	108	105.91	155.14	64.02	139.81	102.59	105.16	55.53	118.85	64.94	179.56	98.84	122.13	162.19	76.66	158.13	116.94	112.08	65.76	50.9	149.68	107.85	103.16	72.2	170.57	72.32	127.84	140.54	70.95	95.13	144.44	109.1	58.74	68.97		64.28	147.34	128.49	94.79	135.78		38.41	52.43	144.08	178.06	123.58	62.77	98.41	160.8	73.79	60.41	98.95	147.11	68.49	67.34	80.82				106.36			87.11						24.5																	
		DNS thirdparty							calc=latestdata	69	0.33	7.76	7.75	47.71	1.27		35.64	22.58	18.92	33.84	38.89	38.31	18.87	35.99	21.18	0.69	52.92	48.5	42.12	6.68	1.85	44.66	3.11	8.08	22.2	8.3	21.84		11.4	25.35	0.72	0.21	2.84	4.61	46.65	11.62	55.55	0.02	0.18	19.17	17.9	14.68	3.12	0.36		17.85	1.17	36.72	11.23	28.44	17.57	4.71	0	33.32	2.47	24.33	11.65	15.28	7.57	14.85	1.94	0.98	31.73	0.85	8.43	11.74	60.03	1.01	2.93	25.39	56.89	0.98		46.9	26.9	10.83	0	0.29	19.87	0.39		6.45	61.09	30.32	51.49	2.13	11.72	38.98	5.6	43.24	37.07	33.68	9.06	50.09	5	26.12	0.4	8.85	14.2	7.88	13.36	18.96	19.45	2.44	0.23	11.3	48.39	19.5	49.63	26.69	1.06	0.38	14.61	6.11	1	53.55	4.47	1.29	29.8	17.04	6.76	132.95	7.92	26.49		7.43	0.26	0.98	7.78		2.98	42.41		40.65	5.51	0.57	0.1		22.72	9.56	2.65	33.89	9.09	14.99	1.94	5.38	9.86	3.09	13.18	43.25	18.41	59.54	35.2	21.26	27.67	0.41	34.86	17.88	21.85	6.14	58.79	3.44	13.36	2.14	37.33	22.73	0.27	35.52	16.84	37.08	1.31	0.53	8.1	40.56	12.49	1.08	15.61	3.5	39.67	53.63	18.13	5.24	8.46	18.62	0.26	0.9		11.34	21.43	8.54	16.52	11.77		15.16	0.84	24.64	22.26	52.35	0.3	40.12	31.68	8.55	2.22	25.31	6.01	4.68	0.76	2.26				30.09			22.36				71.26		0																	
		 DNS Critical							calc=latestdata	70	6.39	60.1	18.09	95.9	21.26		64	64.7	46.3	83.78	84.56	81	61	76.92	91	9.6	76.67	59.02	85	38.7	5.3	96.8	34.37	39.02	60.8	18.5	57.6		68.77	55.49	9.4	1.38	9	11	87.12	40.26	74.1	4.03	2.5	72.35	49.3	52.57	6.98	7.11		49.41	14.6	68.57	30	69.33	79.71	0	3	95.99	10.71	62.86	49.58	43	31.7	29.7	18.86	0.99	84.24	2.9	41.8	92.38	83.75	9.81	15.56	48.9	86.19	18.9		63.21	37.38	23.4	1.72	3.32	37.35	11.4		19.08	74.56	76.13	98.16	18	17.14	39.35	11.3	79.69	71.45	61.96	40.5	90.58	44	54.89	43.4	12.25	78.7	28.3	14.26	75.83	74.7	11	5.41	17.76	95.21	72.13	94.67	69.78	3.7	5.83	67.5	49.28	7	73.17	16.8	10.7	41.44	44.39	29.65	92.4	27	61		56.8	5.94	2.1	14.84		15.44	93.17		85.5	17.6	1.95	42.68		96.3	70.22	13.8		53.67	44.92	9.38	43	40.2	39.69	66.6	64.59	91.49	84.33	46.6	54.08	70.52	10.6	65.4	51	56.48	21.2		24.41	63.7	17.7	53.5	54.26	2.1	82	79.98	71.59	9	1.63	49	76.19	25.8	24.64	40.08	27.1	92.52	87	28.09	17.49	34.89	68.06	1.14	5.7		40	65.1	46.16	51.04	12.2			17.71	43.4	90.4	91.61	4.86	87.36	61.46	43.55	18.8	57	48.31	22.55	17.34	19.89				66.7			78.78				50.07		15.9																	
		 DNS NON critical							calc=latestdata	71	0	6.57	4.01	35.89	0.41		15.07	14.69	9.13		25.76	27.54	19.83		21.39	1.19	26.97	28.84	35.99		0.4		3.26	1.59	14.15	1.63	11.46		7.15	20.74	0.03	0.02		0.07		3.79	39.63		0.08	14.08		10.27	0.21	0.01		10.45	0.28	23.04		21.13	27.64		0	41.38	2.27	15.76	5.7	7.81	3.68				27.37	0.49	1.4	32.3	40.18	0.63	0.12	12.15	35.78	0.27		28.36				0.08	5.63	0		1.39	31.25	27.35	35.92	1.24	1.19	9.46		26.91	26.18		5.41	29.31	4.66	12.93	0.19		1.38	4.16	0.16	24.74	22.8	0.11			40.33	31.46		28.05	0.11	0.05	10.14		0.02	35.23	2.6	0.2	14.57	11.56	2.98		6.85	15.2		2.96	0.05		1.76		0.81	41.02		30.45	2.48		0.01		38.14	4.51	1.08	9.36	5.3	7.9			5.74	23.22	23.83	26.68	9.9	38.78	14.71	18.52	17.45	0.11		15.36	14.92				10.36	0.71	15.57	12.68		27.79	21.84	26.55			3.21	27.27	2.65	0.05	8.53		34.19	45.97	1.68		8.21	16.19		0.11		1.7	17.47	4.44	11.69				0.29	8.42	11.51	37.38	0.17	30.37	24.58		1.77	7.82	6.48		0.14	1.04							16.57						0																	
	2013																																																																																																																																																																																																																																																							
		-									70.66	116.16	100.79	80.7	61.87		127.09	162.53	112.42	134.87	106.84	156.23	107.61	76.05	165.91	74.43	108.1	118.79	110.9	52.61	93.26	144.32	72.2	97.7	91.1	160.64	135.31		112.21	145.19	66.38	24.96	133.89	70.39	80.61	100.11	167.77	29.47	35.56	134.29	88.71	104.08	47.28	104.77		145.97	95.45	110.05	17.71	96.36	127.73	9.72	41.82	127.12	27.97	129.96	88.43	105.64	121.51	141.82	67.47	5.6	159.66	27.25	105.6	136.58	98.5	214.75	99.98	115.03	120.92	108.19		116.82	125.59	140.39	63.32	55.15	69.41	69.4		95.92	237.35	116.43	108.11	70.78	125.36	84.25	96.1	105.47	122.85	158.82	102.24	116.32	141.8	184.69	71.76	16.61	190.29	121.45	68.14	124.76	80.56	86.3	59.4	165.04	104.07	151.34	148.64	304.08	36.91	32.33	144.72	181.19	129.07	129.75		102.53	123.24	84.82	30.32	93.74	124.18	159.95		128.53	48	12.83	118.43		76.85	116.16		105.78	111.98	39.29	73.29		116.27	154.65	70.13	85.79	73.74	162.97	40.98	103.69	98.08	104.5	149.08	113.04	152.64	111	106.01	105.58	152.84	56.8	142.09	116.31	114.63	52.47	116.95	64.94	184.2	92.93	119.39	147.34	65.66	155.92	113.91	110.21	57.57	49.38	145.64	106.89	95.5	72.85	161.07	71.47	125.53	136.78	56.13	91.83	140.05	106.17	57.38	62.53		54.59	144.94	115.6	92.96	116.89		34.43	48.08	138.06	171.87	124.61	55.72	97.08	154.62	74.31	50.34	101.61	134.97	69.01	71.5	96.35				105.99			83.65						25.26																	
		-									0.31	8.86	7.99	48.69	1		36.82	23.31	19.43	34.01	44.34	39.25	18.67	36.04	21.88	0.69	52.25	47.76	41.39	7.25	1.54	110.19	3.51	8.19	22.11	8.62	22.48		13.58	26.89	0.81	0.21	2.78	3.59	48.1	13.26	62.83	0.02	0.24	18.18	19.27	14.78	3.13	0.35		19.88	1.34	38.89	10.98	30.59	18.7	4.74	0	37.28	2.37	23.81	11.26	15.22	8.31	15.15	1.96	0.98	33.13	0.81	7.97	13.86	60.79	1.15	3.47	27.65	58.87	1.04		47.92	26.99	12.04	0	0.29	19.61	0.4		7.65	61.35	29.91	50.99	2.32	12.3	38.33	5.63	43.97	37.5	34.59	8.99	47.99	5.2	26.71	0.46	8.79	15.08	8.31	10.37	20.63	18.04	2.43	0.26	12.72	49.56	20.75	50.45	27.97	1.07	0.21	15.26	6.54	0.83	53.92		1.39	29.17	17.2	9.7	123.84	6.19	27.2		8.86	0.3	1	7.97		2.98	42.52		41.06	5.34	0.56	0.21		24.52	9.67	3.5	34.72	9.32	15.17	1.91	6.43	10.55	3.2	14.33	42.7	19.02	61.57	35.03	21.75	28.34	0.38	35.43	18.38	17.43	4.4	59.63	3.61	17.13	2.43	39.35	23.43	0.26	36.35	17.74	38.53	1.36	0.61	7.34	41.31	12.72	1.09	15.75	3.68	41.04	56.86	20.22	5.18	9.04	18.82	0.26	0.92		29.43	21.72	9.29	18.09	11.49		14.68	0.73	26.15	22.32	52.88	0.34	41.63	30.77	6.91	2.17	25.57	7.34	4.68	0.8	2.15				31.59			17.92				71.28		0																	
		-									5.9	57.2	16.5	94	19.1		63.4	59.9	41.9	78.9	83	80.62	58.7	72	90	6.63	73	54.17	82.17	33.6	4.9	95.3	29.9	36.94	57.79	15	51.04		64.5	53.06	9.1	1.3	6.8	6.4	85.8	37.5	74.1	3.5	2.3	66.5	45.8	51.7	6.5	6.6		45.96	8.4	66.75	27.93	65.45	74.11		2.2	94.63	9.5	59	45.9	40.35	29.4	23.11	16.4	0.9	79.4	1.9	37.1	91.51	81.92	9.2	14	43.3	84.17	12.3		59.87	35	19.7	1.6	3.1	35	10.6		17.8	74.2	72.64	96.55	15.1	14.94	29.95	9.2	78.25	70.8	58.46	37.1	89.71	41	54	39	11.5	75.46	23	12.5	75.23	70.5	5	3.2	16.5	93.8	68.45	93.78	65.8	3	5.05	66.97	44.1	3.5	68.91	14	6.2	39	43.46	27.8	90.7	20	60.31		56	5.4	1.6	13.9		13.3	93.96		82.78	15.5	1.7	38		95.05	66.45	10.9		46.6	44.03	6.5	36.9	39.2	37	62.85	62.1	85.3	84.77	45	49.76	67.97	9	64.6	46.2	52	15.3		23	60.5	13.1	51.5	50.4	1.7	81	77.88	72.68	8	1.5	46.5	71.64	21.9	22.7	37.4	24.7	94.78	86.34	26.2	16	28.94	65.24	1.1	4.5		35	63.8	43.8	46.25	9.6		37	16.2	41	88	89.84	4.4	84.2	57.69	38.2	11.3	54.9	43.9	20	15.4	18.5				65.8			73.9				45.3		14.1																	
		-									0	5.75	3.26	35.01	0.35		17.39	14.57	8.17	18.66	25	26.26	18.19	4.11	22.52	0.97	23.82	29.77	34.48	2.98	0.41		2.72	1.44	13.48	1.07	10.66		6.6	19.68	0.08	0.02	0.22	0.08	34.38	4.25	34.8		0.11	13.11	13.63	9.39	0.18	0.01		9.95	0.28	22.26	0.05	20.08	26.69		0	40.34	2.03	14.81	5.06	6.73	3.26	4.49	0.46	0	28.04	0.25	1.24	31.7	38.79	0.53	0.02	11.91	34.6	0.27		26.18	17	2.35	0.01	0.09	4.61			0.85	31.03	26.09	35.65	1.19	1.3	6.66		25.7	25.9	22.98	5.06	28.88	4.51	11.91	0.17	1.07		2.46	0.13	24.19	9.95	0.11	0.12	1.04	40.67	27.72	33.28	26.8	0.17	0.05	9.89	5.9	0.02	33.34	2.44	0.19	13.05	10.93	1.99	44.66	4.92	12.78		2.56	0.07	0.18	1.55		1.12	40.53		29.21	2.17	0.04	0.01		38.86	4.25	0.89	8.63	4.92	7.95	0.15	2.3	5.31	18.17	22.74	24.16	9.94	38.04	13.46	17.47	16.62	0.02	24.54	13.72	13.35		32.53	0.51	10.18	0.76	15.23	13.37		27.6	20.35	25.32	0.34	0.57	3.06	26.11	1.99	0.07	6.88	0.34	32.57	42.56	1.58	0.07	7.75	16.06	0.06	0.1		1.61	15.84	4.86	11.87	0.03		7.09	0.27	8.83	11.15	36.49	0.11	30	21.63	1.06	0.12	7.35	5.62	1.05	0.1	0.73							16.31						0																	
CDN REAL	2020									cdnreal																																																																																																																																																																																																																																														
		Third Party								72		57.8						67.8			75.6								56						56.8		65			65.4					75.6					66.8	19.4					38.6					73.8			57.4									69.6				61			69.2	65.4			70.2									54.4	67.4		57.4	51.4				64.6	55.6		63.6								56.8											68							60.8												65		75.8					72										74.6	69.6		61	71.6	67.4											72.2			73.2					66.2	65.2					67.6	72			68								60.8					71.6		50.2		73.6											68.2																											
		Critically Dependant								73		10.8						11.2			13.6								16.4						13.4		12.4			16					12.4					11.6	11.2					5.2					19.8			9									24				22			18	18			13.6									10.8	20.8		8.6	5.6				12.8	8		11.8								19.2											11.8							10.6												18.6		12.8					16.6										20.8	19.2		19.4	24	18.2											15			10.4					12.2	18					16.8	14.6			13								14.2					21.6		7.4		7.4											13																											
		Third and Private								74		1.4						4.2			2.2								3.8						0.8		2.4			2					2.2					2.4	0					25					1.8			26									1.4				1.6			1	1.8			2.6									3.6	0.2		36.2	38.6				43	34.2		2.8								1.2											2.2							3												2.2		3.6					2.6										1.4	3		2.2	1.8	1.4											2.4			1.8					2.8	2.8					2.2	2.4			2								1.4					1		28		2.2											3																											
		Redundant								75		48						57.2			62.8								39.8						44.2		54.8			50.4					63.6					56.4	8.2					38.2					54.2			54.2									46.2				39.4			51.2	47.4			57.2									44	46.8		57.8	56.8				56.6	53.2		52.6								38.4											56.6							51												46.8		64.6					56.2										54.8	52		42.6	47.8	49.4											57.6			63.8					55.2	47.2					51	58.2			55.6								47					50.8		48.6		67.2											55.4																											
		Multiple Third Party								76		33.8						49.4			54.8								26.8						33.2		42.2			41.2					59.6					47	5					20.4					46.6			36.8									36				30.8			40.6	37.2			42.6									36.4	39.4		34.6	27.4				36.8	31.2		47.2								29.8											46.6							44.8												34.6		54.2					45.6										47.2	38.6		34.6	38.2	38.8											46.8			55					43.2	35.4					42.2	48.6			44.2								36.2					37.2		27.8		55.8											43.6																											
DNS REAL	2020									dnsreal																																																																																																																																																																																																																																														
		Third Party								77		65.6						54.2			69.8								49.4						56		56.8			48.4					65.4					57.4	63.4					57.6					35.8			55.8									47.2				52.4			46.2	51.6			52.4									56	51.4		67	57.4				54.2	50.8		54.6								41.6											55							57.6												48.6		59.6					57.8										48.2	53.6		48.4	42.8	52.6											61.2			72.4					62	56					61.6	57			55.4								57					49.6		62.6		72.4					53.8						55																											
		Critically Dependant								78		54.4						43.8			52.8								37.6						44.6		48.4			39.6					45.6					44	60					46.2					21.8			45									23.6				33.4			37.8	36			40									41.6	33		56	48.8				37.4	32.6		40.2								27											45.4							44												35.8		47.8					42.8										33.8	41		35.2	29.2	43											43.6			51.4					47.2	40.2					42.4	38.4			46								48.6					40		47.6		49.8					47.6						47.6																											
		Third and Private								79		1.8						2.6			4								3.6						2		2.2			3.2					4					4.8	0.4					1.8					4.8			1.8									4				7.2			1.2	6.6			4.6									2.4	4		2	2.6				3	4.6		3.6								4											1.6							2.6												4		1.2					3.6										5	3		4	4.8	3.4											2.8			2					2.8	5.6					5.8	4.4			3								2					2.8		2.4		3.6					0.6						1.2																											
		Redundant								80		11.4						11.2			17.6								12.2						13.6		8.8			9.2					20.6					13.8	4					11.6					14.2			10.8									24				19.2			8.8	16			12.6									15.4	18.8		11.4	9.6				17.8	18.6		15								15.2											10.2							13.8												13.4		12.2					15.6										15	13.2		14	14.6	11											18			21.4					15	15.8					19.8	18.8			11.4								8.8					10.4		15.6		23.4					6.4						8.4																											
		Multiple Third Party								81		2.8						2.2			4.4								2.4						3		1.8			2.2					5.4					2.8	0.8					3					2.2			2.4									10.2				4.2			2.4	3.8			2.6									5.8	2		3.2	2.4				7.4	2.2		4.2								4.6											3.4							3.2												3.2		3.2					4.6										3.8	3		5	4	2.6											5.8			10.2					3.6	3.2					5.4	3.4			2.6								2.6					2.6		2.8		13.8					1.6						2																											
CA REAL	2020									careal																																																																																																																																																																																																																																														
		Third Party								82		48.2						58			68.8								57.2						56.4		52.6			58.8					70					59	59					58.2					67			61									67				62.2			65.4	67.6			49.2									61.4	62.4		66.4	57.2				66.4	64		65.2								63.8											59.2							60.6												60.8		66.8					62.4										70.6	59.4		72.8	64	62.2											55.6			63.2					59.8	54.6					64.6	68.4			52.2								55.2					55.2		65.2		76					60						57.8																											
		OCSP								83		23.6						18.6			30.6								21.8						20.2		20.6			16.6					32.2					21.8	8.6					26.2					19.6			27									15.8				18.2			19.8	22.6			21.6									23.8	15.2		28.6	18.2				26	19.4		21.6								15.2											24							28.2												21.6		31.8					28.6										21.6	22.6		17.8	18.2	21.8											22.2			25.8					26.2	17.2					23.8	27.2			16.6								17.6					19.2		29.8		38					15.8						22																											
		HTTPS								84		53						61.6			73.4								63.4						61.4		60			67					75.2					65.8	62.4					62.4					78.6			65.2									75				68.4			72.4	75.4			52.4									68	67.6		71	62				72.6	68.8		70								68.6											63.4							67.2												69		73.6					68.6										75.8	66		78.8	71.2	67											61.6			66.8					64.4	60.2					68.6	74.6			59.8								61.6					61.2		70.6		81					65.8						62.2																											
																																																																																																																																																																																																																																																								
																																																																																																																																																																																																																																																								
																																																																																																																																																																																																																																																								
																																																																																																																																																																																																																																																								
Categorical data example	2018		<a href='http://en.wikipedia.org/wiki/List_of_countries_by_spoken_languages'>Wikipedia</a>							categoricaldataexample																																																																																																																																																																																																																																														
		Binary (yes/no) example				0=[0x5DAF5A][Yes] 1=[0xE61A1C][No]				5	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	1	1	1	0	0	1	0	1	1	1																	
		Distribution of languages (official or first language)		This map show the distribution of the ten languages with the largest estimated number of speakers. Countries are only colored if the language is either an official language or the first language. Note that many countries have more than one official language, and the language indicated may not be the one which is most widely spoken in that country. Japanese is amongst the top ten languages in terms of speakers but was not included on the map. It is an official language only in Japan.		0=[0x599EB9][Arabic] 1=[0xE61A1C][Bengali] 2=[0x6DAF6A][English] 3=[0x333333][German] 4=[0x0077cc][French] 5=[0x996EA5][Hindi] 6=[0xFF9F00][Mandarin] 7=[0xFFFF55][Portuguese] 8=[0xA87829][Russian] 9=[0xF991BF][Spanish]  				6			0		7			9			2	3			0	1		8	4	2	4	2		9		2	7	2			4	4		4	2	7	2	4	0	9	6	9	0	4	2	9	4		9				4		0	2	9	9	0	9	9	0			2		4	4	2		3	2	2		2	9	4	7	2	4		9	2			5			0	2	0		2		0	8	2	2	0	8			0	2	2	0	3		4		4	2			4	2	2	0	2	9	2	4			2	0	7		2				2	2	9	4	2			0	2		0	9	2	9	9	2		7	0				8	4	2	2	2	2		7	0	4		4	2	2				0	2	9		0		2		3	0				7	4	2	2	2	0			2	2	2		0	2	2	2	9		4	9		0	2	2	4	0	6				9	2	2	2	2		2																	
		Arabic speaking countries				0=[0x488EB8][Arabic]				7			0												0																								0				0												0				0			0																											0		0				0				0				0			0												0								0														0			0								0												0									0				0					0									0							0									0				0																												
		Bengali speaking countries				0=[0xE51A1C][Bengali]				8																0																																																																																																																																																																																																																														
		English speaking countries				0=[0x5DAF5A][English]				9											0									0		0				0		0							0		0								0											0									0				0			0	0		0				0				0							0			0				0	0						0	0							0				0	0		0		0				0				0				0	0			0				0				0			0									0	0	0	0						0	0	0					0					0									0	0	0				0	0	0			0	0	0							0	0								0	0	0	0		0																	
		Germany speaking countries				0=[0x333333][German]				10												0																																																											0																																				0		0																																																																							0																																																										
		French speaking countries				0=[0x0066cc][French]				11																			0		0										0	0		0	0			0	0				0	0			0						0		0						0						0	0									0			0																													0		0				0							0														0																				0								0		0														0						0																	0						0																													
		Hindi speaking countries				0=[0x985EA4][Hindi]				12																																																																																						0																																																																																																																																																								
		Mandarin speaking countries				0=[0xFF8F00][Mandarin]				13																																									0																																																																																																																																																																										0																											
		Portuguese speaking countries				0=[0xFFFF44][Portuguese]				14					0																						0									0																																										0																																																	0																							0												0																							0																																																					
		Russian speaking countries				0=[0xA76728][Russian - official] 1=[0x488EB8][Russian - secondary] 				15									1				1					0																																													1							1																					1					0				0		1						1															1																														1		0																											1										1				1						1																																				
		Spanish speaking countries				0=[0xF881BF][Spanish]				16								0																0																0		0				0			0								0	0		0	0															0						0																																						0															0									0		0	0																											0																											0			0											0																							
Example structure																																																																																																																																																																																																																																																								
>Sub-Category 1	Quarter 4									subcategory																																																																																																																																																																																																																																														
		Example indicator 1								17		2.67	0.58	35.91	0.59	11.92	15.36	9.37	2.94	17.44	37.94	24.55	4.7	10.51	14.76	0.1		4.17	28.85	2.6	0.1	58.84	0.87	2.08	8.91	0.52	5.94		4.66	11.2	0.11	0.06	0.12	0.14	32.21	1.85		0.06	0.03	8.56	11.31	4.5	0.18	0.03	9.52	4.06	0.09	29.43	0.3	18.51	17.39																																																																																																																																																																																											
		Example indicator 2								18	1.84	23.86	11.93	70.04	3.05	30.34	75.03	28.11	6.21	22.76	71.98	71.21	28	31.54	51.95	0.35	73.67	32.1	68.86	11.31	1.85	78.8	6.55	10.83	34.66	6.25	37.52		55.32	34.86	0.92	0.81	0.51	3.8	75.43	20.61	41.33	0.44	1.19	32.47	22.28	38.5	3.48	4.29	25.41	32.31	3.21	50.6	12.94	38.78	58.41																																																																																																																																																																																											
		Example indicator 3								19		2.04	1.41	24.49	0.09	16.23	14.52	7.99	0.16	17.44	24.39	20.74	0.69	10.08	14.18	0.03	64.81	4.94	27.97	2.56	0.03	52.47	0.3	0.68	4.99	0.46	5.26		3.56	11.11	0.03		0.11		29.59	1.48				8.49	6.23	4.23			0.28	2.38	0.05	11.86	0.02	16.37	17.05																																																																																																																																																																																											
	Quarter 3																																																																																																																																																																																																																																																							
		-										1.28	0.58	32.68	0.57	11.92	13.4	8.65	2.94	15.35	34.07	30.35	2.51	8.99	10.53	0.1		4.17	27.17	2.68	0.1	58.84	0.9	2.08	7.24		4.58		4.66	8.47	0.08		0.1	0.14	30.85	1.49		0.06	0.03	8.15	11.31	3.11	0.28	0.03	9.26	3.51	0.09	26.58	0.3	15.3	13.72																																																																																																																																																																																											
		-									1.9	15.04	10.34	70.87	2.84	29.34	70.06	25.95	6.02	23.04	68.57	66.87	18	26.98	32.91	0.32	73.86	28.89	66.76	10.86	1.79	74.35	5.92	10.5	27.92	5.28	30.88		48.82	30.78	0.75	0.7	0.49	2.93	72.85	8.28	39.98	0.38	0.85	31.03	15.99	27.8	3.42	2.76	25.6	30.28	2.24	44.7	11.69	38.12	48.64																																																																																																																																																																																											
		-										0.32	0.85	23.66	0.07	16.23	8.08	6.58	0.13	15.35	23.16	19.53	0.17	3.9	9.68	0.03	37.56	1.75	25.78	2.22	0.02	44.61		0.36	2.24	0.19	4		2.91	8.23	0.03		0.06		27.55	0.78				7.83	5	2.72			0.28	2.41	0.05	8.74	0.02	11.43	14.58																																																																																																																																																																																											
	Quarter 2																																																																																																																																																																																																																																																							
		-										0.65	0.58	21.36	0.56	11.92	13.4	6.98	2.94		32.24	28.77	1.18	8.74	8.08	0.1		4.17	24.44	2.88	0.09	58.84	0.88	1.24	6.29		3.15		4.66	6.07	0.06		0.08	0.14	29.06	1.54		0.06	0.03	6.71	5.86	2.03	0.28	0.03	9.01	2.59	0.09	24.12	0.14	12.52	13.77																																																																																																																																																																																											
		-									2.11	15.1	7.38	48.94	1.91	28.37	62.64	20.93	5.63	23.37	65.15	61.12	11.99	33.38	28.24	0.29	63.18	27.64	61.98	10.4	1.54	69.9	4.52	6.2	25.12	4.29	28.18	18.89	42.19	24.35	0.63	0.66	0.47	2.03	70.36	6.81	38.86	0.31	0.58	34.5	10.52	15.34	3.33	2.01	25.86	27.63	1.52	37.98	11.16	33.84	44.25																																																																																																																																																																																											
		-										0.01	0.51	17.88	0.04	16.23	8.02	4.05	0.06	13.59	18.91	17.31	0.05	5.03	5.2		21.77	0.12	22.5	1.94	0.02	36.73		0.19	1.06	0.1	2.53		2.37	5	0.01		0.02		24.65	1.54				6.19	3.85	1.44			0.28	1.89	0.05	5.68		7.47	10.88																																																																																																																																																																																											
	Quarter 1																																																																																																																																																																																																																																																							
		-										0.65	0.58	21.36	0.27	11.92	10.72	6.24	2.94	8.63	29.32	21.52	0.86	8.36	6.91	0.08		0.38	21.92	2.33	0.08	48.2	0.55	0.78	4.8		2.35		4.64	2.67	0.06		0.06	0.08	27.49	1.37		0.06	0.03	5.56	5.56	1.6	0.2	0.03	8.77	4.52	0.09	21.47	0.11	10.88	23.07																																																																																																																																																																																											
